name,count,collection,eod,eodnum,tops,th,gs_tops_mm,snd_shl,mean_gs_mm,max_gs_mm,ng,ar,depth_m,grain_size_mm
Karoo krf2,2,Skoorsteenberg,fan,1,8.894581924,0.370524465,0.137332779,1,0.137332779,0.137332779,0.964343429,0.35,"8.8946,8.5241,","0.1373,0.1373,"
Karoo krf2,2,Skoorsteenberg,fan,1,8.524057459,0.625509043,0.164436492,1,0.164436492,0.164436492,0.964343429,0.35,"8.5241,7.8985,","0.1644,0.1644,"
Karoo krf2,2,Skoorsteenberg,fan,1,7.898548416,0.273314428,0.146873173,1,0.146873173,0.146873173,0.964343429,0.35,"7.8985,7.6252,","0.1469,0.1469,"
Karoo krf2,2,Skoorsteenberg,fan,1,7.625233988,0.126734517,0.03125,0,0.03125,0.03125,0.964343429,0.35,"7.6252,7.4985,","0.0583,0.0583,"
Karoo krf2,2,Skoorsteenberg,fan,1,7.498499471,0.255014578,0.135014084,1,0.135014084,0.135014084,0.964343429,0.35,"7.4985,7.2435,","0.1350,0.1350,"
Karoo krf2,2,Skoorsteenberg,fan,1,7.243484893,0.020092058,0.03125,0,0.03125,0.03125,0.964343429,0.35,"7.2435,7.2234,","0.0583,0.0583,"
Karoo krf2,2,Skoorsteenberg,fan,1,7.223392835,0.207102748,0.134694676,1,0.134694676,0.134694676,0.964343429,0.35,"7.2234,7.0163,","0.1347,0.1347,"
Karoo krf2,2,Skoorsteenberg,fan,1,7.016290087,0.015455429,0.03125,0,0.03125,0.03125,0.964343429,0.35,"7.0163,7.0008,","0.0583,0.0583,"
Karoo krf2,2,Skoorsteenberg,fan,1,7.000834658,0.273561093,0.135334249,1,0.135334249,0.135334249,0.964343429,0.35,"7.0008,6.7273,","0.1353,0.1353,"
Karoo krf2,2,Skoorsteenberg,fan,1,6.727273566,0.020092058,0.03125,0,0.03125,0.03125,0.964343429,0.35,"6.7273,6.7072,","0.0583,0.0583,"
Karoo krf2,2,Skoorsteenberg,fan,1,6.707181508,1.178078021,0.134376024,1,0.134376024,0.134376024,0.964343429,0.35,"6.7072,5.5291,","0.1344,0.1344,"
Karoo krf2,2,Skoorsteenberg,fan,1,5.529103487,0.022803723,0.03125,0,0.03125,0.03125,0.964343429,0.35,"5.5291,5.5063,","0.0583,0.0583,"
